Timestamp,Username,Client_IP,Endpoint,HTTP_Method,HTTP_Status,Response_Time_ms,User_Agent,Session_ID,Request_ID,Hour,DayOfWeek,IsWeekend,IsSuccess,IsFailure,HTTP_Method_Encoded,Requests_Per_User,Requests_Per_IP,Requests_Per_Session,Unique_Endpoints_Per_User,Failure_Rate_Per_User,Average_Response_Time_User,Anomaly_Label,Risk_Score,Risk_Category,Detection_Reason
2026-07-14 22:45:17,Aarav Sharma,198.51.100.200,/login,POST,200,0.43,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,566fe148-98f1-425b-9a33-7be344aafcb4,4ba3ff63-33d0-48d9-8669-ee20378f62df,22,Tuesday,0,1,0,1,638,1063,110,12,9.247648902821316,0.3390752351097179,1,38,Medium Risk,Multiple anomalous requests from this user; High request volume from this user; Suspicious request pattern detected
2026-07-14 22:45:18,Aarav Sharma,198.51.100.200,/login,POST,200,0.86,python-requests/2.32.5,566fe148-98f1-425b-9a33-7be344aafcb4,8b8f5f91-9b08-45ed-a392-547fa13dbc73,22,Tuesday,0,1,0,1,638,1063,110,12,9.247648902821316,0.3390752351097179,1,38,Medium Risk,Multiple anomalous requests from this user; High request volume from this user; Suspicious request pattern detected
2026-07-14 22:45:18,Aarav Sharma,198.51.100.200,/login,POST,200,0.78,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,566fe148-98f1-425b-9a33-7be344aafcb4,ce2d6931-451c-41a4-a4bf-4399227623b2,22,Tuesday,0,1,0,1,638,1063,110,12,9.247648902821316,0.3390752351097179,1,38,Medium Risk,Multiple anomalous requests from this user; High request volume from this user; Suspicious request pattern detected
2026-07-14 22:45:18,Aarav Sharma,198.51.100.200,/login,POST,200,0.66,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,566fe148-98f1-425b-9a33-7be344aafcb4,edc35af7-db1f-42d1-9955-cdf019f28351,22,Tuesday,0,1,0,1,638,1063,110,12,9.247648902821316,0.3390752351097179,1,38,Medium Risk,Multiple anomalous requests from this user; High request volume from this user; Suspicious request pattern detected
2026-07-14 22:45:19,Aarav Sharma,198.51.100.200,/login,POST,200,0.9,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,566fe148-98f1-425b-9a33-7be344aafcb4,d35971a0-67c0-4654-9581-358d55b0fa7f,22,Tuesday,0,1,0,1,638,1063,110,12,9.247648902821316,0.3390752351097179,1,38,Medium Risk,Multiple anomalous requests from this user; High request volume from this user; Suspicious request pattern detected
2026-07-14 22:45:19,Aarav Sharma,198.51.100.200,/login,POST,200,1.23,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,566fe148-98f1-425b-9a33-7be344aafcb4,0e364dc4-1011-40a0-8a37-f4807d38631f,22,Tuesday,0,1,0,1,638,1063,110,12,9.247648902821316,0.3390752351097179,1,43,Medium Risk,Multiple anomalous requests from this user; High request volume from this user; Response time was above normal range; Suspicious request pattern detected
2026-07-14 22:45:19,Aarav Sharma,198.51.100.200,/login,POST,200,0.69,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,566fe148-98f1-425b-9a33-7be344aafcb4,5f17affb-5847-4485-9a0e-94f9c4214211,22,Tuesday,0,1,0,1,638,1063,110,12,9.247648902821316,0.3390752351097179,1,38,Medium Risk,Multiple anomalous requests from this user; High request volume from this user; Suspicious request pattern detected
2026-07-14 22:45:20,Aarav Sharma,198.51.100.200,/login,POST,200,0.67,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,566fe148-98f1-425b-9a33-7be344aafcb4,6392d576-7b8a-431f-ba61-fa227e547943,22,Tuesday,0,1,0,1,638,1063,110,12,9.247648902821316,0.3390752351097179,1,38,Medium Risk,Multiple anomalous requests from this user; High request volume from this user; Suspicious request pattern detected
2026-07-14 22:45:20,Aarav Sharma,198.51.100.200,/login,POST,200,1.28,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,566fe148-98f1-425b-9a33-7be344aafcb4,520fc2d3-3eca-4a8c-b770-21dc302c723f,22,Tuesday,0,1,0,1,638,1063,110,12,9.247648902821316,0.3390752351097179,1,43,Medium Risk,Multiple anomalous requests from this user; High request volume from this user; Response time was above normal range; Suspicious request pattern detected
2026-07-14 22:45:20,Aarav Sharma,198.51.100.200,/login,POST,200,0.65,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,566fe148-98f1-425b-9a33-7be344aafcb4,efe9dbdb-0ea1-40a9-8d35-261e5790bc9d,22,Tuesday,0,1,0,1,638,1063,110,12,9.247648902821316,0.3390752351097179,1,38,Medium Risk,Multiple anomalous requests from this user; High request volume from this user; Suspicious request pattern detected
