Timestamp,Username,Client_IP,Endpoint,HTTP_Method,HTTP_Status,Response_Time_ms,User_Agent,Session_ID,Request_ID
2026-09-02 21:25:07,Bhavadharani S,10.80.92.233,/,GET,200,184.44,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",c3731da3-1655-47ef-ac99-7c6f735385b8,4ddcd8ac-604f-43b9-8efd-3af93b82c796
2026-09-03 11:04:39,anonymous,10.1.70.36,/,GET,200,97.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",ea4cf54d-eef2-4f95-a14f-29cd239421ac,dcb145e2-707f-4739-853e-18e44ef63808
2026-09-03 11:04:41,anonymous,10.1.70.36,/login,GET,200,52.83,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",ea4cf54d-eef2-4f95-a14f-29cd239421ac,8cbd88ad-29bd-48cf-a26c-fedd734d6fb0
2026-09-03 11:04:57,Bhavadharani S,10.1.70.36,/login,POST,302,9.13,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",6752f396-1d38-48a9-bf13-a00abf194929,31ef59ad-2436-4cb4-bf5b-799a71261831
2026-09-03 11:04:57,Bhavadharani S,10.1.70.36,/dashboard,GET,200,29.82,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",6752f396-1d38-48a9-bf13-a00abf194929,ea7e958e-f0c3-4880-aa4a-0a99599227fc
2026-09-03 11:05:00,Bhavadharani S,10.1.70.36,/products,GET,200,79.75,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",6752f396-1d38-48a9-bf13-a00abf194929,57ac5d24-9921-478f-935b-1aaa2c274e34
2026-09-03 11:05:02,Bhavadharani S,10.1.70.36,/api-test,GET,200,25.88,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",6752f396-1d38-48a9-bf13-a00abf194929,14483f24-8686-4b1d-80a7-2f8f9a78704a
2026-09-03 11:05:05,Bhavadharani S,10.1.70.36,/dashboard,GET,200,2.02,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",6752f396-1d38-48a9-bf13-a00abf194929,c2dba1f8-d35f-4f7d-baa3-7b3bb3f515e2
2026-09-03 11:05:08,Bhavadharani S,10.1.70.36,/api-test,GET,200,0.41,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",6752f396-1d38-48a9-bf13-a00abf194929,d28a0d39-4f94-4db2-93c1-0977401a1557
2026-09-03 11:05:10,Bhavadharani S,10.1.70.36,/dashboard,GET,200,1.55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",6752f396-1d38-48a9-bf13-a00abf194929,dd1d9854-ff8d-43b3-a512-80a315ee918e
